checklist_ID,Label_Short,Label_Long,Answer_Options,NA_Meaning
Item20,Methods_ConstructValidity,Describe methods to assess construct validity in individual studies,Yes; No,
Item21,Methods_PublicationBias,Describe methods for assessing publication bias of included studies,Yes; No,
Item22,Methods_SynthesisingEffects,"Describe methods for synthesizing the quantitative effect measures of included studies (e.g. risk ratio, mean difference)",Yes; No; NA,No meta-analysis
Item23,Methods_DataTransformation,Describe methods for any data transformation needed to make extracted data suitable for analysis (e.g. only sample size range),Yes; No; NA,No meta-analysis
Item24,Methods_SharedControls,Describe methods for handling shared control groups (common issue in analysis of preclinical studies),Yes; No; NA,No meta-analysis
Item25,Methods_Hetergeneity,Describe methods for assessing heterogeneity between individual studies,Yes; No; NA,No meta-analysis
Item26,Methods_MultipleTimePoints,Describe methods for handling effect sizes over multiple time points (e.g. used all time points or latest time point),Yes; No; NA,No meta-analysis
Item27,Methods_SubGroupAnalysis,Describe methods for sub-group and sensitivity analysis,Yes; No; NA,No meta-analysis
Item28,Results_NumberIncluded,Report the number of included reports (individual references/publication) included in the review,Yes; No ,
Item28a,Results_NumberIncluded_Table,Provides a list or table of individual studies with data or references,Yes; No; NA,Conference abstracts
Item29,Results_NumberIncludedExperiments,Report the number of eligible experiments included in the analysis (eligible animal experiments in individual reports),Yes; No; NA,No meta-analysis
Item30,Results_PRISMAFlow,Include a PRISMA flow diagram (or equivalent) of study selection process,Yes; No; NA,Conference abstracts
Item31,Results_SpeciesCharacteristics,Study characteristics: Report animal species,Yes; no,
Item32,Results_ModelCharacteristics,"Study characteristics: Report animal model details (e.g. method of disease induction, age, sex)",Yes; No,
Item33,Results_SampleSizeCharacteristics,Study characteristics: Report a measure of the sample size (e.g. total number or mean number of animals),Yes; No,
Item34,Results_InterventionCharacteristics,"Study characteristics: Report intervention/exposure details (timing, dose)",Yes; No; NA,SRs not investigating intervention
Item35,Results_StudyDesignCharacteristics,"Study characteristics: Report study design/intention (pharmakinetic, mechanistic, efficacy)",Yes; No,
Item36,Results_RoB,Report the risk of bias of the primary studies (individual studies/across outcomes),Yes; No; NA,Risk of bias not assessed
Item37,Results_OutcomeEffects,Report the outcome effects of primary studies (forest plot if applicable),Yes; No; NA,No meta-analysis
Item38,Results_ConfidenceIntervals,Report the confidence intervals of outcomes for the included studies,Yes; No; NA,No meta-analysis
Item39,Results_Heterogeneity,Report any measure of heterogeneity between studies,Yes; No; NA,No meta-analysis
Item40,Results_SubGroup,Report the results of sub-group and sensitivity analysis,Yes; No; NA,No meta-analysis
Item41,Results_PublicationBias,"Report the results of publication bias, OR report that it was not possible/done",Yes; No; NA,Publication bias not assessed
Item42,Discussion_RoB,Discuss the impact of the risk of bias of the primary studies,Yes; No; NA,Risk of bias not assessed
Item43,Discussion_StudyLimitations,Discuss the limitations (i.e. limitation of primary studies and/or outcomes included),Yes; No,
Item44,Discussion_ReviewLimitations,Discuss the limitations of the systematic review,Yes; No,
Item45,Other_Funding,Include the funding source(s) of the systematic review,Yes; No,
Item46,Other_DataSharing,"Report any data sharing, OR that there was no data sharing",Reported data shared; Reported data are not shared; Not reported,
